	read_name	read_seq	umi_seq	umi_start	umi_end	cigar	potential_concatamer
c3e0d6c8-dd08-47e2-b5b1-c0a48af7f2ea	4	*	*	0	16	*	False
a7481e60-bf2c-4323-ae2e-3568a445a567	20	*	*	0	16	*	False
edcd00b9-5965-436c-ae1b-de4f38bdebb2	4	*	*	0	16	*	False
01d3e1e0-85df-4eb3-a40f-fb3d9a0db5b2	20	*	*	0	16	*	False
dcee0586-3793-46d4-b39a-565a4113e270	4	*	*	0	16	*	False
ad8f52fc-7820-4dd8-8d73-822e0ed1a61f	4	*	*	0	16	*	False
6fa2a84c-eef5-443d-baed-6aa22374e219	20	*	*	0	16	*	False
ae764646-41c6-4ccc-84f4-90b69dfbd3e7	20	*	*	0	16	*	False
dd4d4a77-ef5c-426e-893b-a098774967ae	4	*	*	0	16	*	False
44414b66-3797-47af-9f17-7fba3f409e1d	4	*	*	0	16	*	False
da5f1bcf-9819-4e41-9a19-fb231b75b0cf	4	*	*	0	16	*	False
47fd7049-0ed0-4a61-ae5c-382e6622ff4c	4	*	*	0	16	*	False
cd10c1fe-0bd7-48e6-8bb9-8cd6a9efc1c0	20	*	*	0	16	*	False
bbbabfb6-269d-41d9-b730-6de94e1a2aaf	20	*	*	0	16	*	False
d13311f8-7e18-4a03-a119-fb853ec8e32c	20	*	*	0	16	*	False
7337a4d4-395a-4592-b3d8-905a75b2140a	20	*	*	0	16	*	False
832cfb8a-e1ea-4a9d-9316-c77e3e2ae253	4	*	*	0	16	*	False
f66417cc-8554-4a42-80ae-30c365605a48	4	*	*	0	16	*	False
44b06ca5-5f77-4497-9164-78ee34db5dbb	4	*	*	0	16	*	False
2fe43c31-ded7-46a2-8b6f-2c79c299a974	4	*	*	0	16	*	False
d631d9c4-8661-45ab-aaf8-c4592945d615	20	*	*	0	16	*	False
346b23b4-7ea9-40ff-b1d4-640fe59ebd30	20	*	*	0	16	*	False
b36b7552-8477-4cbf-bd76-3befb303e349	20	*	*	0	16	*	False
b36b7552-8477-4cbf-bd76-3befb303e349	260	*	*	0	16	*	False
1a845751-0225-425a-ad38-fe8e583a7d92	20	*	*	0	16	*	False
24607224-680e-47dd-ba7c-680b4096a4dc	20	*	*	0	16	*	False
cc944caf-b145-4c16-b4b3-60a5831e0ba5	4	*	*	0	16	*	False
b86403ae-7383-4e77-af61-81474f0360d5	4	*	*	0	16	*	False
4aae3701-86a5-48f5-98f3-6b112d496186	4	*	*	0	16	*	False
ad04da79-16df-4f4c-a090-7727ef2aa9d3	4	*	*	0	16	*	False
1877ba0b-d40b-427c-a7c9-91ad89fba7a4	20	*	*	0	16	*	False
4d911764-2d43-469a-b324-6a555908993d	20	*	*	0	16	*	False
f2dd17d7-1eeb-4d75-bbe6-8df30ace1234	4	*	*	0	16	*	False
a7e2d1fe-816b-4dcd-bbc2-c26d0c7cf3c5	4	*	*	0	16	*	False
177dc1b6-d0fd-4e84-b257-12dda16bf736	4	*	*	0	16	*	False
3d30bcb7-a91b-49f0-bf0a-c9b280a2c58a	4	*	*	0	16	*	False
3d30bcb7-a91b-49f0-bf0a-c9b280a2c58a	260	*	*	0	16	*	False
f0328dfe-c351-4871-9b5e-153191956424	20	*	*	0	16	*	False
c3353793-8c6f-41f2-b622-6b7465219896	20	*	*	0	16	*	False
26664423-8642-47ac-9202-c2932f297f73	4	*	*	0	16	*	False
b28594a8-d345-49b9-9c6e-1c4bc0e1116e	4	*	*	0	16	*	False
76e9c644-e206-492c-bbfb-73a735e6263e	4	*	*	0	16	*	False
dd12b125-d17d-4cd8-817f-feac30532a7f	20	*	*	0	16	*	False
702611a5-3269-4eea-83ce-07ba53df1f57	20	*	*	0	16	*	False
933526c2-f152-4e9d-be19-e06e0d709006	20	*	*	0	16	*	False
a1718f26-8866-46f3-9aaa-0cb030077b98	20	*	*	0	16	*	False
99bf327e-1970-4090-ae0c-5fc5a65a6c99	4	*	*	0	16	*	False
fc854d75-9cf5-4d88-891c-6cc8576e3fe6	4	*	*	0	16	*	False
21fc708b-501c-4799-aad7-225d323f0f26	4	*	*	0	16	*	False
2f3d964e-bbf9-45d3-877a-e065578b7fa0	4	*	*	0	16	*	False
490fbfb7-38a7-4ea2-926f-87696315d566	4	*	*	0	16	*	False
4d2d60f3-ba4e-4769-b8f2-3d0e7aec2627	4	*	*	0	16	*	False
2113cb76-30c8-4be5-b244-08ab3b647fd9	20	*	*	0	16	*	False
c38064bc-b43f-48d1-a86a-ad899a12c77b	20	*	*	0	16	*	False
e1aa41cf-cdac-4ee0-bac8-a765f8ba3134	20	*	*	0	16	*	False
e1aa41cf-cdac-4ee0-bac8-a765f8ba3134	276	*	*	0	16	*	False
7b5aed6e-9e68-4ac4-99e7-e047f5758f49	4	*	*	0	16	*	False
5459ad88-6437-4ef6-8838-7d643bbfd0c3	4	*	*	0	16	*	False
553bf05c-1484-4949-9964-63dc77c89cc7	4	*	*	0	16	*	False
2ef86261-9083-429c-8084-a8d2b4094ab6	4	*	*	0	16	*	False
331abc40-bccc-4559-a5f0-66f44921dfd2	20	*	*	0	16	*	False
9879754f-972c-482d-98bd-b22fd3d16d77	20	*	*	0	16	*	False
